"rxns","metabolite","n0","n5","c0","c5","log2FC_0","log2FC_5","label_flag"
"EX_HC02187[e]","reverse triiodthyronine",0,0,0,0,0,0,FALSE
"EX_HC02180[e]","thromboxane B2",0,0,0,0,0,0,FALSE
"EX_HC02204[e]","prostaglandin B1",0,0,0,0,0,0,FALSE
"EX_HC02205[e]","prostaglandin B2",0,0,0,0,0,0,FALSE
"EX_HC02206[e]","prostaglandin C1",0,0,0,0,0,0,FALSE
"EX_HC02207[e]","prostaglandin C2",0,0,0,0,0,0,FALSE
"EX_HC02208[e]","prostaglandin D1",0,0,0,0,0,0,FALSE
"EX_HC02210[e]","prostaglandin D3",0,0,0,0,0,0,FALSE
"EX_HC02213[e]","prostaglandin E3",0,0,0,0,0,0,FALSE
"EX_HC02214[e]","prostaglandin F1alpha",0,0,0,0,0,0,FALSE
"EX_HC02216[e]","prostaglandin F2beta",0,0,0,0,0,0,FALSE
"EX_HC02217[e]","prostaglandin G2",0,0,0,0,0,0,FALSE
"EX_CE1935[e]","spermine monoaldehyde",0,0,0,0,0,0,FALSE
"EX_CE1940[e]","spermidine monoaldehyde 2",0,0,0,0,0,0,FALSE
"EX_CE1943[e]","spermidine dialdehyde",0,0,0,0,0,0,FALSE
"EX_CE1939[e]","spermidine monoaldehyde 1",0,0,0,0,0,0,FALSE
"EX_CE2916[e]","neocasomorphin",0,0,0,0,0,0,FALSE
"EX_CE4723[e]","neocasomorphin (1-5)",0,0,0,0,0,0,FALSE
"EX_CE2838[e]","maltononaose",0,0,0,0,0,0,FALSE
"EX_23cump[e]","2,3-cyclic-UMP",0,0,0,0,0,0,FALSE
"EX_3ump[e]","3-UMP",0,0,0,0,0,0,FALSE
"EX_CE5786[e]","kinetensin",0,0,0,0,0,0,FALSE
"EX_CE5789[e]","kinetensin 1-8",0,0,0,0,0,0,FALSE
"EX_CE5797[e]","neuromedin N",0,0,0,0,0,0,FALSE
"EX_CE5798[e]","neuromedin N(1-4)",0,0,0,0,0,0,FALSE
"EX_CE5787[e]","kinetensin 1-3",0,0,0,0,0,0,FALSE
"EX_CE5791[e]","kinetensin 4-8",0,0,0,0,0,0,FALSE
"EX_crm_hs[e]","ceramide pool",0,0,0,0,0,0,FALSE
"EX_CE0074[e]","alloxan",0,0,0,0,0,0,FALSE
"EX_C04849[e]","hepoxilin A3",0,0,0,0,0,0,FALSE
"EX_c10crn[e]","Decanoyl Carnitine",0,0,0,0,0,0,FALSE
"EX_doco13ac[e]","cis-erucic acid",0.001529407,0.000253785,0.001651739,0.002632101,0.110943535068845,3.36941061189417,FALSE
"EX_docosac[e]","behenic acid",0.005358284,0.000892211,0.005788532,0.009218165,0.111406462289669,3.36756316517279,FALSE
"EX_4hpro[e]","trans-4-hydroxy-L-proline",0,0,0,0,0,0,FALSE
"EX_alaala[e]","D-Alanyl-D-Alanine",0,0,0,0,0,0,FALSE
"EX_carn[e]","carnosine",0,0,0,0,0,0,FALSE
"EX_dchac[e]","3alpha,12alpha-dihydroxy-5beta-cholanate",0,0,0,0,0,0,FALSE
"EX_glygly[e]","Glycyl-Glycine",0,0,0,0,0,0,FALSE
"EX_glysar[e]","Glycylsarcosine",0,0,0,0,0,0,FALSE
"EX_leugly[e]","Leucyl-Glycine",0,0,0,0,0,0,FALSE
"EX_leuleu[e]","Leucylleucine",0,0,0,0,0,0,FALSE
"EX_tdechola[e]","taurodeoxycholate",0,0,0,0,0,0,FALSE
"EX_fmn[e]","FMN",0,0,0,0,0,0,FALSE
"EX_4mop[e]","4-methyl-2-oxopentanoate",0,0,0,0,0,0,FALSE
"EX_ahcys[e]","SAH",0,0,0,0,0,0,FALSE
"EX_Lkynr[e]","kynurenine",0,0,0,0,0,0,FALSE
"EX_hLkynr[e]","3-hydroxy-L-kynurenine",0,0,0,0.023655477,0,14.5299476183552,TRUE
"EX_acrn[e]","O-acetylcarnitine",0,0,0,0,0,0,FALSE
"EX_pcrn[e]","O-propanoylcarnitine",0,0,0,0,0,0,FALSE
"EX_lneldccrn[e]","(6Z,9Z)-octadecadienoylcarnitine",0,0,0,0,0,0,FALSE
"EX_odecrn[e]","octadecenoylcarnitine(5)",0,0,0,0,0,0,FALSE
"EX_stcrn[e]","stearoylcarnitine",0,0,0,0,0,0,FALSE
"EX_pmtcrn[e]","L-palmitoylcarnitine",0,0,0,0,0,0,FALSE
"EX_hdcecrn[e]","palmitoleoyl-carnitine",0,0,0,0,0,0,FALSE
"EX_12HPET[e]","12(S)-HPETE",0,0,0,0,0,0,FALSE
"EX_amet[e]","SAM",0,0,0,0,0,0,FALSE
"EX_C02712[e]","N-acetylmethionine",0,0,0,0.09871077,0,16.590934495723,TRUE
"EX_C04717[e]","13(S)-HPODE",0,0,0,0,0,0,FALSE
"EX_C06315[e]","lipoxin B4",0,0,0,0.001182996,0,10.209448491651,TRUE
