rxn,LB,UB
HMR_3897,0.0,3.156978613822331
HMR_3956,0.0,2.1158093912078324
HMR_3993,0.0,1.7394771069266874
HMR_4073,0.0,3.130617823892953
HMR_4075,0.0,2.403232432064335
HMR_4077,0.0,3.697697180941959
HMR_4190,-1.7394771069266874,1.7394771069266874
HMR_4191,0.0,0.4559107203146725
HMR_4212,0.0,4.01239008661757
HMR_4422,0.0,4.01239008661757
HMR_4423,0.0,2.4645911172284016
HMR_4424,0.0,4.185379236275929
HMR_4583,-4.586283326848226,4.586283326848226
HMR_4606,0.0,0.23365249047313824
HMR_4607,0.0,3.6514304923817433
HMR_4776,0.0,5.0205963417236825
HMR_4777,0.0,5.0205963417236825
HMR_4778,0.0,2.4039875390187713
HMR_4779,0.0,2.4039875390187713
HMR_4780,0.0,2.4039875390187713
HMR_4781,0.0,2.4039875390187713
HMR_4784,0.0,4.403881969899318
HMR_4785,0.0,4.403881969899318
HMR_4786,0.0,5.893611209718038
HMR_4787,0.0,2.6632298278755426
HMR_5384,0.0,1.9011992931824488
HMR_6932,0.0,2.4645911172284016
HMR_6935,0.0,2.4645911172284016
HMR_6938,-6.244860952957595,6.244860952957595
HMR_6942,0.0,2.4645911172284016
HMR_6945,0.0,2.4645911172284016
HMR_6948,0.0,2.4645911172284016
HMR_6951,0.0,2.4645911172284016
HMR_6965,-0.9148408973718591,0.9148408973718591
HMR_6966,-0.9148408973718591,0.9148408973718591
HMR_8096,-4.403881969899318,4.403881969899318
HMR_8097,-4.403881969899318,4.403881969899318
HMR_8098,0.0,4.88382575435232
HMR_8416,0.0,2.4390800524132454
HMR_8425,-0.49715234205351544,0.49715234205351544
HMR_8426,0.0,6.49681348114945
HMR_8427,-1.6903897709508904,1.6903897709508904
HMR_8432,0.0,3.7328865547938452
HMR_8603,0.0,6.244860952957595
HMR_8604,0.0,5.3158696659605065
HMR_8605,0.0,6.153078632094907
HMR_8606,0.0,0.7559168647899909
HMR_8609,0.0,2.4039875390187713
HMR_8610,0.0,4.06921562528944
HMR_8611,0.0,4.118737649634081
HMR_4285,0.0,4.095808872929022
HMR_0457,0.0,4.662864561175095
HMR_0460,0.0,4.662864561175095
HMR_3750,-5.0846237981615685,5.0846237981615685
HMR_3752,-5.051541073906425,5.051541073906425
HMR_3770,-5.051541073906425,5.051541073906425
HMR_3771,-5.0846237981615685,5.0846237981615685
HMR_3772,-5.0846237981615685,5.0846237981615685
HMR_3782,-5.0846237981615685,5.0846237981615685
